task_index,original_time_slot,predicted_time_slot,recall_at_1,recall_at_5,tokens_spent
0,95,0,False,False,493
1,118,95,False,False,555
2,104,118,False,False,617
3,67,104,False,False,676
4,111,67,False,False,736
5,83,111,False,False,795
6,112,67,False,False,854
7,19,112,False,False,914
8,17,7,False,False,973
9,82,83,False,False,1030
10,79,112,False,False,1086
11,32,79,False,False,1086
12,8,83,False,False,1085
13,17,8,False,False,1085
14,9,79,False,False,1082
15,31,0,False,False,1080
16,90,32,False,False,1080
17,66,32,False,False,1080
18,116,91,False,False,1080
19,140,116,False,False,1081
20,13,65,False,False,1083
21,63,17,False,False,1085
22,40,17,False,True,1086
23,140,91,False,False,1085
24,157,140,False,False,1081
25,96,157,False,False,1085
26,43,0,False,False,1087
27,134,157,False,False,1087
28,135,40,False,False,1087
29,81,135,False,False,1086
30,83,63,False,False,1084
31,11,81,False,False,1084
32,81,81,True,True,1088
33,9,81,False,False,1084
34,57,9,False,False,1079
35,96,96,True,True,1081
36,33,80,False,False,1083
37,141,136,False,False,1084
38,130,12,False,False,1084
39,12,0,False,True,1083
40,140,96,False,False,1083
41,61,0,False,False,1081
42,132,0,False,False,1081
43,42,0,False,False,1078
44,132,132,True,True,1081
45,41,32,False,False,1086
46,113,32,False,False,1086
47,9,41,False,False,1085
48,134,144,False,False,1084
49,41,12,False,False,1088
50,140,124,False,True,1089
51,139,132,False,True,1091
52,57,8,False,False,1097
53,130,132,False,True,1097
54,140,145,False,False,1097
55,129,130,False,True,1097
56,96,8,False,False,1096
57,48,95,False,False,1096
58,85,41,False,False,1096
59,105,85,False,False,1097
60,129,105,False,False,1095
61,153,152,False,False,1096
62,113,153,False,False,1094
63,137,48,False,False,1092
64,96,47,False,False,1093
65,12,152,False,False,1093
66,82,24,False,False,1097
67,58,0,False,False,1096
68,81,60,False,False,1094
69,133,96,False,False,1092
70,127,81,False,False,1089
71,129,24,False,False,1087
72,116,96,False,False,1084
73,106,58,False,False,1083
74,24,95,False,False,1082
75,156,140,False,False,1081
76,130,106,False,False,1081
77,139,140,False,True,1077
78,106,139,False,False,1075
79,157,0,False,False,1076
80,107,106,False,True,1077
81,132,139,False,False,1079
82,133,139,False,False,1080
83,3,104,False,False,1083
84,41,107,False,False,1085
85,134,107,False,False,1085
86,18,41,False,False,1088
87,24,0,False,True,1088
88,56,18,False,False,1090
89,79,41,False,False,1093
90,132,24,False,True,1094
91,116,132,False,False,1096
92,136,116,False,False,1097
93,158,144,False,False,1097
94,32,23,False,False,1098
95,92,0,False,False,1097
96,96,31,False,False,1097
97,93,116,False,False,1094
98,106,91,False,False,1094
99,107,106,False,False,1094
100,15,31,False,False,1098
101,83,107,False,False,1096
102,59,83,False,False,1093
103,161,92,False,False,1093
104,67,59,False,False,1092
105,139,64,False,False,1091
106,116,139,False,False,1091
107,91,123,False,False,1092
108,163,36,False,False,1092
109,136,116,False,False,1093
110,35,40,False,False,1094
111,140,112,False,False,1090
112,83,35,False,False,1091
113,107,35,False,False,1095
114,105,35,False,False,1096
115,130,108,False,False,1097
116,59,0,False,False,1096
117,104,0,False,False,1097
118,34,35,False,False,1100
119,14,35,False,False,1099
120,11,35,False,False,1105
121,138,140,False,True,1103
122,35,0,False,False,1104
123,132,35,False,False,1109
124,69,35,False,False,1110
125,105,132,False,False,1107
126,82,59,False,False,1106
127,129,0,False,False,1106
128,105,0,False,False,1105
129,141,138,False,True,1105
130,38,35,False,False,1106
131,85,69,False,False,1100
132,31,105,False,False,1097
133,56,30,False,False,1093
134,19,129,False,False,1088
135,115,0,False,False,1082
136,107,56,False,False,1083
137,89,107,False,False,1084
138,59,38,False,False,1084
139,38,0,False,False,1084
140,41,38,False,False,1079
141,91,0,False,False,1078
142,113,89,False,False,1079
